epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,0.22402553260326385,0.4739566743373871,0.1960604041814804,0.29838600754737854
1,0.17264872789382935,0.3074706196784973,0.16390766203403473,0.3003403842449188
2,0.15899720788002014,0.36142605543136597,0.1668495237827301,0.44412946701049805
3,0.14496126770973206,0.33231696486473083,0.14227810502052307,0.2951420247554779
4,0.14242549240589142,0.3538954257965088,0.15921516716480255,0.4575766921043396
5,0.15044347941875458,0.42335304617881775,0.14591999351978302,0.3931525945663452
6,0.12559174001216888,0.3223705589771271,0.11608132719993591,0.29748451709747314
7,0.11296625435352325,0.2979845106601715,0.1182325929403305,0.2934859097003937
8,0.1076367199420929,0.30116355419158936,0.1080872118473053,0.2916037440299988
9,0.10331666469573975,0.29758167266845703,0.10718324780464172,0.28210341930389404
10,0.1003841683268547,0.28776049613952637,0.10423914343118668,0.284821480512619
11,0.09708140790462494,0.2959124743938446,0.1044217050075531,0.29016631841659546
12,0.09677264839410782,0.2968713939189911,0.10604117810726166,0.30498477816581726
13,0.09197504073381424,0.29058119654655457,0.09978962689638138,0.2916828393936157
14,0.09403405338525772,0.30196231603622437,0.10393861681222916,0.31671518087387085
15,0.09206012636423111,0.29433345794677734,0.10802923887968063,0.2671942114830017
16,0.09130451828241348,0.2927275002002716,0.09951774030923843,0.29967522621154785
17,0.0884084403514862,0.2923817038536072,0.0963444784283638,0.2821575701236725
18,0.08720017969608307,0.2920175790786743,0.1026533916592598,0.3009238839149475
19,0.08870971947908401,0.2862059772014618,0.09619074314832687,0.27507761120796204
